Rank,SmashTag,Wins,Losses,WinPercentage,BankRoll Bills
1.0,Ginger,24,6,0.8,424.0
2.0,Revenge | Gahtzu,14,2,0.875,384.0
3.0,CLG. | SFAT,16,6,0.727,361.0
4.0,S2J,6,4,0.6,246.0
5.0,bobby big ballz,24,9,0.727,219.0
6.0,KoDoRiN,12,5,0.706,202.0
7.0,SANS | Blues Clues,28,11,0.718,153.0
8.0,LSD,14,3,0.824,124.0
9.0,Android 0,11,2,0.846,116.0
10.0,Fiction,14,4,0.778,104.0
11.0,clichÃÂ©,25,18,0.581,100.0
12.0,Dom,13,6,0.684,98.0
13.0,DD,20,12,0.625,90.0
14.0,Fizz,18,13,0.581,73.0
14.0,.Ãempt,18,11,0.621,73.0
16.0,GHQ | Zamu,11,5,0.688,66.0
17.0,Twisty,10,4,0.714,65.0
18.0,Golden,8,3,0.727,63.0
18.0,The Leaf,8,2,0.8,63.0
20.0,306 | Amrak,21,11,0.656,61.0
21.0,Trock,15,9,0.625,50.0
22.0,Chem,13,10,0.565,48.0
23.0,soccermom69,12,5,0.706,47.0
23.0,Captain G,12,10,0.545,47.0
25.0,:3 | Marrgasm,18,12,0.6,43.0
26.0,GLR | JAM,17,7,0.708,42.0
27.0,Question,17,10,0.63,37.0
27.0,S.C.E. | Erik,12,7,0.632,37.0
29.0,ANTIFA CEO | Quiggles,24,26,0.48,35.0
30.0,TBD,14,9,0.609,34.0
30.0,EP | Justus,14,9,0.609,34.0
32.0,FM | Cilan,13,8,0.619,33.0
33.0,Light,12,6,0.667,32.0
34.0,Hulka,9,6,0.6,29.0
35.0,306 | Polo,8,3,0.727,28.0
35.0,MIOM | Toph,8,5,0.615,28.0
35.0,billybopeep,8,6,0.571,28.0
35.0,ABG | salami,8,5,0.615,28.0
39.0,Musashi,12,9,0.571,27.0
40.0,Pipe,15,23,0.395,25.0
41.0,SonOfJ,8,8,0.5,18.0
41.0,CowCowCowCowCow,8,8,0.5,18.0
43.0,Hunybear,12,9,0.571,17.0
44.0,Cock Lot | JEEPER,11,15,0.423,16.0
44.0,Thad <3,10,9,0.526,16.0
44.0,Megaman,11,14,0.44,16.0
44.0,DarkGenex,11,11,0.5,16.0
48.0,2Framez,9,7,0.562,15.0
48.0,Milo,10,10,0.5,15.0
50.0,Dawson,9,8,0.529,14.0
51.0,Alex18+,11,19,0.367,13.0
52.0,W8ASec,7,7,0.5,12.0
52.0,Shy,7,4,0.636,12.0
54.0,GST | Ryobeat,6,2,0.75,11.0
54.0,TheFormuoli,10,14,0.417,11.0
56.0,Tourist,4,3,0.571,9.0
56.0,TG NBR | Panos,4,4,0.5,9.0
56.0,NOOT,4,3,0.571,9.0
59.0,RedX,7,10,0.412,8.0
59.0,OtES,7,12,0.368,8.0
59.0,Uncle Pete,3,6,0.333,8.0
59.0,Slump,7,12,0.368,8.0
63.0,Strazz,5,14,0.263,7.0
63.0,Pawn,5,25,0.167,7.0
65.0,Rigo Bigo,5,11,0.312,6.0
66.0,Vitro,4,6,0.4,5.0
66.0,DiscipleOfBorp,4,11,0.267,5.0
66.0,jams,4,16,0.2,5.0
69.0,Theftz,3,6,0.333,4.0
69.0,Nico,3,8,0.273,4.0
69.0,kippu,3,5,0.375,4.0
69.0,GS | TreyTheTrashman,3,4,0.429,4.0
69.0,CVSmashMods | Ripn,3,3,0.5,4.0
69.0,JustJoshin,3,4,0.429,4.0
75.0,Doctor Dank,2,13,0.133,3.0
75.0,glum oinkin',2,4,0.333,3.0
75.0,Miranda,2,4,0.333,3.0
75.0,K.H.D | Reign,2,15,0.118,3.0
75.0,KaiKwonDo,2,6,0.25,3.0
75.0,Chewy,2,8,0.2,3.0
81.0,N8V,1,8,0.111,2.0
81.0,Luppi,1,7,0.125,2.0
81.0,TurboThot,1,3,0.25,2.0
81.0,3OutChange,1,11,0.083,2.0
81.0,pointykitty,1,19,0.05,2.0
81.0,ericiscool.net,1,2,0.333,2.0
81.0,Fishpaste,1,9,0.1,2.0
81.0,radvillainy,1,11,0.083,2.0
81.0,Ringler,1,11,0.083,2.0
90.0,Frost | JJK,0,4,0.0,1.0
90.0,Blu-J,0,2,0.0,1.0
90.0,CarltonDanks,0,5,0.0,1.0
90.0,Afron,0,4,0.0,1.0
90.0,Big Pivot,0,27,0.0,1.0
90.0,Abhi,0,15,0.0,1.0
