SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,WinPercentage,Placement,PlacePoints,Points,Rank
64692,SANS | Blues Clues,13,4,0,0,0,1,0,0,0,0.7647058823529411,7,75.0,98.0,7.0
16023,soccermom69,12,5,0,0,0,1,0,0,0,0.7058823529411765,13,25.0,47.0,16.0
585236,306 | Amrak,15,7,0,0,0,1,0,0,0,0.6818181818181818,13,25.0,50.0,13.0
36990,Trock,15,9,0,0,0,1,0,0,0,0.625,13,25.0,50.0,13.0
38567,Android 0,11,2,0,0,0,1,0,0,0,0.8461538461538461,5,95.0,116.0,5.0
28793,Light,12,6,0,0,0,1,0,0,0,0.6666666666666666,17,10.0,32.0,23.0
60696,FM | Cilan,13,8,0,0,0,1,0,0,0,0.6190476190476191,17,10.0,33.0,21.0
10529,The Leaf,8,2,0,0,0,1,0,0,0,0.8,9,45.0,63.0,12.0
65777,bobby big ballz,11,3,0,0,0,1,0,0,0,0.7857142857142857,4,125.0,146.0,4.0
29840,TBD,14,9,0,0,0,1,0,0,0,0.6086956521739131,17,10.0,34.0,20.0
250581,Fizz,18,13,0,0,0,1,0,0,0,0.5806451612903226,9,45.0,73.0,9.0
27862,Musashi,6,4,0,0,0,1,0,0,0,0.6,25,0.0,16.0,28.0
10485,DD,13,8,0,0,0,1,0,0,0,0.6190476190476191,13,25.0,48.0,15.0
327212,Marrgasm,11,9,0,0,0,1,0,0,0,0.55,17,10.0,31.0,24.0
19346,SonOfJ,8,8,0,0,0,1,0,0,0,0.5,25,0.0,18.0,26.0
927948,cliché,13,11,0,0,0,1,0,0,0,0.5416666666666666,17,10.0,33.0,21.0
150888,Shy,7,4,0,0,1,0,0,0,0,0.6363636363636364,-1,0.0,12.0,31.0
627118,Pipe,9,10,0,0,1,0,0,0,0,0.4736842105263158,-1,0.0,14.0,30.0
25789,Tourist,4,3,0,0,1,0,0,0,0,0.5714285714285714,-1,0.0,9.0,33.0
27527,Megaman,11,14,0,0,1,0,0,0,0,0.44,-1,0.0,16.0,28.0
301566,JustJoshin,3,4,0,1,0,0,0,0,0,0.42857142857142855,-1,0.0,4.0,39.0
147251,GS | TreyTheTrashman,3,4,0,1,0,0,0,0,0,0.42857142857142855,-1,0.0,4.0,39.0
4197,Uncle Pete,3,6,0,0,1,0,0,0,0,0.3333333333333333,-1,0.0,8.0,34.0
286517,Thad <3,5,5,0,1,0,0,0,0,0,0.5,-1,0.0,6.0,35.0
735376,CVSmashMods | Ripn,3,3,0,1,0,0,0,0,0,0.5,-1,0.0,4.0,39.0
40403,Pawn,5,8,0,1,0,0,0,0,0,0.38461538461538464,-1,0.0,6.0,35.0
2085246,kippu,3,5,0,1,0,0,0,0,0,0.375,-1,0.0,4.0,39.0
718293,Nico,3,8,0,1,0,0,0,0,0,0.2727272727272727,-1,0.0,4.0,39.0
18722,K.H.D | Reign,2,15,0,1,0,0,0,0,0,0.1176470588235294,-1,0.0,3.0,45.0
157632,TurboThot,1,3,0,1,0,0,0,0,0,0.25,-1,0.0,2.0,49.0
229216,KaiKwonDo,2,6,0,1,0,0,0,0,0,0.25,-1,0.0,3.0,45.0
528737,3OutChange,1,11,0,1,0,0,0,0,0,0.08333333333333333,-1,0.0,2.0,49.0
33387,pointykitty,1,19,0,1,0,0,0,0,0,0.05,-1,0.0,2.0,49.0
148200,Big Pivot,0,27,0,1,0,0,0,0,0,0.0,-1,0.0,1.0,53.0
21661,GLR | JAM,17,7,0,0,0,0,1,0,0,0.7083333333333334,17,10.0,42.0,17.0
47866,S.C.E. | Erik,12,7,0,0,0,0,1,0,0,0.631578947368421,17,10.0,37.0,18.0
54390,Question,17,10,0,0,0,1,0,0,0,0.6296296296296297,17,10.0,37.0,18.0
12353,Twisty,10,4,0,0,0,1,0,0,0,0.7142857142857143,9,45.0,65.0,11.0
7201,.Ðempt,18,11,0,0,0,1,0,0,0,0.6206896551724138,9,45.0,73.0,9.0
657464,CowCowCowCowCow,8,8,0,0,0,1,0,0,0,0.5,25,0.0,18.0,26.0
5618,ANTIFA CEO | Quiggles,13,12,0,0,0,1,0,0,0,0.52,25,0.0,23.0,25.0
241260,Alex18+,9,11,0,1,0,0,0,0,0,0.45,25,0.0,10.0,32.0
257025,2Framez,3,4,0,1,0,0,0,0,0,0.42857142857142855,-1,0.0,4.0,39.0
11945,Strazz,4,5,0,1,0,0,0,0,0,0.4444444444444444,-1,0.0,5.0,38.0
15948,glum oinkin',2,4,0,1,0,0,0,0,0,0.3333333333333333,-1,0.0,3.0,45.0
183400,Doctor Dank,2,13,0,1,0,0,0,0,0,0.13333333333333333,-1,0.0,3.0,45.0
223503,Rigo Bigo,5,11,0,1,0,0,0,0,0,0.3125,-1,0.0,6.0,35.0
641180,Luppi,1,7,0,1,0,0,0,0,0,0.125,-1,0.0,2.0,49.0
2064187,Abhi,0,15,0,1,0,0,0,0,0,0.0,-1,0.0,1.0,53.0
1077,Revenge | Gahtzu,6,0,0,0,0,0,0,0,1,1.0,1,200.0,216.0,1.0
3561,Ginger,4,2,0,0,0,0,0,0,1,0.6666666666666666,2,175.0,189.0,2.0
1019,CLG. | SFAT,4,2,0,0,0,0,0,0,1,0.6666666666666666,3,150.0,164.0,3.0
1017,S2J,2,2,0,0,0,0,0,0,1,0.5,5,95.0,107.0,6.0
26750,KoDoRiN,4,2,0,0,0,0,0,0,1,0.6666666666666666,7,75.0,89.0,8.0
