SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast,Points,Rank
585236,306 | Amrak,12,3,0,0,0,0,1,0,2,WC,27,3.0
12137,yingling,15,7,0,0,0,0,1,0,3,WC,30,2.0
279722,EP | Justus,11,5,0,0,0,1,0,0,4,WC,21,4.0
325974,SDJ,7,1,0,0,0,1,0,0,5,WC,17,10.0
10485,DD,10,4,0,0,0,1,0,0,6,WC,20,6.0
13748,,5,0,0,0,0,1,0,0,7,WC,15,13.0
27527,Megaman,7,3,0,0,0,1,0,0,8,WC,17,10.0
60696,FM | Cilan,8,4,0,0,0,1,0,0,9,WC,18,8.0
413573,John,5,1,0,0,1,0,0,0,10,WC,10,17.0
15298,Cowbell,13,10,0,0,1,0,0,0,11,WC,18,8.0
301566,JustJoshin,8,9,0,1,0,0,0,0,12,WC,9,19.0
21525,Kaptinkillem,6,4,0,0,1,0,0,0,13,WC,11,16.0
157632,TurboThot,7,8,0,1,0,0,0,0,14,WC,8,22.0
508569,eh | sickø,5,6,0,1,0,0,0,0,15,WC,6,24.0
329937,LanTurN,9,14,0,1,0,0,0,0,16,WC,10,17.0
897815,moscow mich,7,10,0,1,0,0,0,0,17,WC,8,22.0
38201,Blue Jay,1,2,0,1,0,0,0,0,18,WC,2,33.0
2085246,kippu,2,4,0,1,0,0,0,0,18,WC,3,29.0
34266,WOMB#619 | Wombat,3,7,0,1,0,0,0,0,20,WC,4,25.0
1621,bensw,1,5,0,1,0,0,0,0,21,WC,2,33.0
144133,YBBT | leroydankins,3,5,0,1,0,0,0,0,22,WC,4,25.0
4864,Theftz,3,7,0,1,0,0,0,0,23,WC,4,25.0
13960,RB | V$,2,5,0,1,0,0,0,0,24,WC,3,29.0
40403,Pawn,2,11,0,1,0,0,0,0,25,WC,3,29.0
268767,markrevival,1,7,0,1,0,0,0,0,26,WC,2,33.0
483428,DCG | Spots,1,8,0,1,0,0,0,0,27,WC,2,33.0
148200,Big Pivot,0,13,0,1,0,0,0,0,28,WC,1,40.0
61897,LSD,18,0,0,0,0,0,1,0,1,EC,33,1.0
6700,JCubez,6,0,0,0,0,1,0,0,2,EC,16,12.0
7149,Trail,10,5,0,0,0,1,0,0,3,EC,20,6.0
5618,ANTIFA CEO | Quiggles,11,8,0,0,0,1,0,0,4,EC,21,4.0
7201,.Ðempt,10,9,0,0,1,0,0,0,5,EC,15,13.0
657464,CowCowCowCowCow,7,4,0,0,1,0,0,0,6,EC,12,15.0
12353,Twisty,4,2,0,0,1,0,0,0,7,EC,9,19.0
329160,ZUTH | Zuthane,2,2,0,1,0,0,0,0,8,EC,3,29.0
364725,LUNK#783 | dom,1,1,0,1,0,0,0,0,8,EC,2,33.0
157615,ight,8,11,0,1,0,0,0,0,10,EC,9,19.0
255496,ericiscool.net,1,4,0,1,0,0,0,0,11,EC,2,33.0
149952,Jakespeare,3,17,0,1,0,0,0,0,12,EC,4,25.0
11945,Strazz,1,6,0,1,0,0,0,0,13,EC,2,33.0
48578,LoneCubone,0,3,0,1,0,0,0,0,14,EC,1,40.0
1186877,Tomz,0,1,0,1,0,0,0,0,14,EC,1,40.0
