Week,Amount,Reason,,,,
1,180,Entrants,,Total,,
1,-60,Commentators,,786,,I didn't remove the costs of TMT admins entering the tournament
1,-200,Pot Bonus,,,,"TMT admins enter isn't technically ""free"" even though they don't pay venue fee, they still have to contribute to the pot"
2,162,Entrants,,,,
2,-60,Entrants,,,,
2,-100,Pot Bonus,,Current capital,,
3,138,Entrants,,$563 ,,
3,-60,Commentators,,,,
4,318,Entrants,,,,
4,-60,Commentators,,,,
5,228,Entrants,,,,
5,-60,Commentators,,,,
6,240,Entrants,,,,
6,-60,Commentators,,,,
7,240,Entrants,,,,
7,-60,Commentators,,,,
