Rank,BankRoll Bills,SmashTag,Wins,Losses,WinPercentage
1.0,29,SANS | Blues Clues,14,5,0.737
4.0,27,bobby big ballz,12,4,0.75
4.0,27,Ginger,12,3,0.8
4.0,27,LSD,12,1,0.923
5.0,26,Fiction,11,2,0.846
6.0,23,EP | Justus,13,7,0.65
8.0,21,Chem,11,8,0.579
8.0,21,Captain G,11,8,0.579
10.0,20,cliché,10,5,0.667
10.0,20,Dom,10,4,0.714
12.0,19,GHQ | Zamu,9,3,0.75
12.0,19,Hulka,9,4,0.692
16.0,18,ABG | salami,8,3,0.727
16.0,18,billybopeep,8,4,0.667
16.0,18,CLG. | SFAT,8,2,0.8
16.0,18,MIOM | Toph,8,3,0.727
18.0,17,306 | Polo,7,1,0.875
18.0,17,Hunybear,12,9,0.571
23.0,16,DarkGenex,11,11,0.5
23.0,16,Golden,6,1,0.857
23.0,16,Cock Lot | JEEPER,11,15,0.423
23.0,16,DD,6,2,0.75
23.0,16,KoDoRiN,6,1,0.857
25.0,15,Revenge | Gahtzu,5,0,1.0
25.0,15,Milo,10,10,0.5
26.0,14,Dawson,9,8,0.529
29.0,12,ANTIFA CEO | Quiggles,11,14,0.44
29.0,12,W8ASec,7,7,0.5
29.0,12,:3 | Marrgasm,7,3,0.7
35.0,11,GST | Ryobeat,6,2,0.75
35.0,11,TheFormuoli,10,14,0.417
35.0,11,Pipe,6,13,0.316
35.0,11,Musashi,6,5,0.545
35.0,11,306 | Amrak,6,4,0.6
35.0,11,2Framez,6,3,0.667
36.0,10,Thad <3,5,4,0.556
38.0,9,TG NBR | Panos,4,4,0.5
38.0,9,NOOT,4,3,0.571
41.0,8,OtES,7,12,0.368
41.0,8,Slump,7,12,0.368
41.0,8,RedX,7,10,0.412
44.0,5,Vitro,4,6,0.4
44.0,5,jams,4,16,0.2
44.0,5,DiscipleOfBorp,4,11,0.267
45.0,4,Theftz,3,6,0.333
48.0,3,Miranda,2,4,0.333
48.0,3,Alex18+,2,8,0.2
48.0,3,Chewy,2,8,0.2
54.0,2,Fishpaste,1,9,0.1
54.0,2,Strazz,1,9,0.1
54.0,2,radvillainy,1,11,0.083
54.0,2,N8V,1,8,0.111
54.0,2,Ringler,1,11,0.083
54.0,2,ericiscool.net,1,2,0.333
59.0,1,Pawn,0,17,0.0
59.0,1,CarltonDanks,0,5,0.0
59.0,1,Frost | JJK,0,4,0.0
59.0,1,Blu-J,0,2,0.0
59.0,1,Afron,0,4,0.0
